x1,y1,z1,x2,y2,z2
-35,17,-40,,,
-35,18,40,,,
-35,18,-40,,,
-35,19,40,,,
-35,19,-40,,,
-34,-21,40,,,
-34,-21,-40,,,
-34,-20,40,,,
-34,-20,-40,,,
-34,-19,40,,,
-34,-19,-40,,,
-34,-18,40,,,
-34,-18,-40,,,
-34,-17,40,,,
-34,-17,-40,,,
-34,-16,40,,,
-34,-16,-40,,,
-34,-15,40,,,
-34,-15,-40,,,
-34,-14,40,,,
-34,-14,-40,,,
-34,-13,40,,,
-34,-13,-40,,,
-34,-12,40,,,
-34,-12,-40,,,
-34,-11,40,,,
-34,-11,-40,,,
-34,-10,40,,,
-34,-10,-40,,,
-34,-9,40,,,
-34,-9,-40,,,
-34,-8,40,,,
-34,-8,-40,,,
-34,-7,40,,,
-34,-7,-40,,,
-34,-6,40,,,
-34,-6,-40,,,
-34,-5,40,,,
-34,-5,-40,,,
-34,-4,40,,,
-34,-4,-40,,,
-34,-3,40,,,
-34,-3,-40,,,
-34,-2,40,,,
-34,-2,-40,,,
-34,-1,40,,,
-34,-1,-40,,,
-34,0,40,,,
-34,0,-40,,,
-34,1,40,,,
-34,1,-40,,,
-34,2,40,,,
-34,2,-40,,,
-34,3,40,,,
-34,3,-40,,,
-34,4,40,,,
-34,4,-40,,,
-34,5,40,,,
-34,5,-40,,,
-34,6,40,,,
-34,6,-40,,,
-34,7,40,,,
-34,7,-40,,,
-34,8,40,,,
-34,8,-40,,,
-34,9,40,,,
-34,9,-40,,,
-34,10,40,,,
-34,10,-40,,,
-34,11,40,,,
-34,11,-40,,,
-34,12,40,,,
-34,12,-40,,,
-34,13,40,,,
-34,13,-40,,,
-34,14,40,,,
-34,14,-40,,,
-34,15,40,,,
-34,15,-40,,,
-34,16,40,,,
-34,16,-40,,,
-34,17,40,,,
-34,17,-40,,,
-34,18,40,,,
-34,18,-40,,,
-34,19,40,,,
-34,19,-40,,,
-34,20,40,,,
-34,20,-40,,,
-34,21,40,,,
-34,21,-40,,,
-33,-22,40,,,
-33,-22,-40,,,
-33,-21,40,,,
-33,-21,-40,,,
-33,-20,40,,,
-33,-20,-40,,,
-33,-19,40,,,
-33,-19,-40,,,
-33,-18,40,,,
-33,-18,-40,,,
-33,-17,40,,,
-33,-17,-40,,,
-33,-16,40,,,
-33,-16,-40,,,
-33,-15,40,,,
-33,-15,-40,,,
-33,-14,40,,,
-33,-14,-40,,,
-33,-13,40,,,
-33,-13,-40,,,
-33,-12,40,,,
-33,-12,-40,,,
-33,-11,40,,,
-33,-11,-40,,,
-33,-10,40,,,
-33,-10,-40,,,
-33,-9,40,,,
-33,-9,-40,,,
-33,-8,40,,,
-33,-8,-40,,,
-33,-7,40,,,
-33,-7,-40,,,
-33,-6,40,,,
-33,-6,-40,,,
-33,-5,40,,,
-33,-5,-40,,,
-33,-4,40,,,
-33,-4,-40,,,
-33,-3,40,,,
-33,-3,-40,,,
-33,-2,40,,,
-33,-2,-40,,,
-33,-1,40,,,
-33,-1,-40,,,
-33,0,40,,,
-33,0,-40,,,
-33,1,40,,,
-33,1,-40,,,
-33,2,40,,,
-33,2,-40,,,
-33,3,40,,,
-33,3,-40,,,
-33,4,40,,,
-33,4,-40,,,
-33,5,40,,,
-33,5,-40,,,
-33,6,40,,,
-33,6,-40,,,
-33,7,40,,,
-33,7,-40,,,
-33,8,40,,,
-33,8,-40,,,
-33,9,40,,,
-33,9,-40,,,
-33,10,40,,,
-33,10,-40,,,
-33,11,40,,,
-33,11,-40,,,
-33,12,40,,,
-33,12,-40,,,
-33,13,40,,,
-33,13,-40,,,
-33,14,40,,,
-33,14,-40,,,
